,Epoch,Accuracy,Average_loss
244,245,62.37,26.17157
245,246,62.71,26.21608
246,247,63.01,25.64514
247,248,62.36,26.78343
248,249,62.61,28.02619
249,250,62.7,27.6894
250,251,62.7,26.8928
251,252,62.75,28.3707
252,253,62.55,27.16798
253,254,62.42,27.16563
254,255,62.56,29.52245
255,256,62.47,28.18491
256,257,62.22,26.45556
257,258,62.5,28.11912
258,259,62.82,27.93375
259,260,62.5,27.5343
260,261,62.56,28.65812
261,262,62.42,27.09763
262,263,62.51,27.92536
263,264,62.4,28.22903
264,265,62.78,28.85509
265,266,62.34,28.88312
266,267,62.66,28.93601
267,268,62.81,28.25989
268,269,62.4,28.07045
269,270,62.48,29.40934
270,271,62.86,29.02014
271,272,62.64,28.9894
272,273,62.52,29.61946
273,274,62.38,29.02745
274,275,62.56,29.85892
275,276,62.84,29.99085
276,277,62.67,30.81594
277,278,62.67,29.66785
278,279,62.56,30.26524
279,280,62.65,30.53374
280,281,62.86,30.7581
281,282,62.6,31.52147
282,283,62.86,32.93013
283,284,62.3,31.68068
284,285,62.87,32.44265
285,286,62.72,33.14496
286,287,63.02,31.38561
287,288,62.52,31.19343
288,289,62.63,30.25972
289,290,62.55,31.30507
290,291,62.33,31.64777
291,292,62.38,30.27346
292,293,62.85,29.97051
293,294,62.81,29.87107
294,295,62.87,31.23763
295,296,62.11,32.32309
296,297,62.7,32.08408
297,298,62.63,31.07974
298,299,62.82,32.44287
299,300,62.75,31.94504
