,Epoch,Accuracy,Average_loss
0,1,57.06,1.51228
1,2,72.4,0.95383
2,3,74.91,0.81834
3,4,75.36,0.76514
4,5,76.26,0.73271
5,6,76.49,0.70486
6,7,76.91,0.69395
7,8,77.36,0.66868
8,9,77.13,0.66143
9,10,77.59,0.65262
10,11,78.19,0.63571
11,12,78.05,0.64078
12,13,78.2,0.63164
13,14,78.49,0.62802
14,15,78.44,0.6313
15,16,78.6,0.62646
16,17,78.98,0.60843
17,18,78.89,0.60648
18,19,78.59,0.62004
19,20,78.68,0.60967
20,21,79.1,0.60494
21,22,78.97,0.5972
22,23,79.04,0.60067
23,24,79.1,0.6105
24,25,78.85,0.60728
25,26,79.28,0.59669
26,27,79.6,0.60124
27,28,79.62,0.5892
28,29,78.94,0.6002
29,30,79.6,0.59698
30,31,79.9,0.57799
31,32,79.3,0.59096
32,33,79.74,0.58307
33,34,79.63,0.58464
34,35,79.73,0.58033
35,36,79.7,0.58226
36,37,79.44,0.588
37,38,79.57,0.58722
38,39,79.68,0.57466
39,40,79.6,0.57425
40,41,79.94,0.58224
41,42,79.67,0.58044
42,43,79.68,0.57404
43,44,79.51,0.57367
44,45,79.85,0.57616
45,46,79.78,0.57225
46,47,79.68,0.57989
47,48,80.04,0.57791
48,49,79.8,0.57423
49,50,79.78,0.57501
